FC Juarez @ Puebla F.C. (03-01-2022),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla F.C. Roster,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Touches,,,,,,,,,,,,,,,Passing,,,,,,,,,,,
Athlete,Started,Min,T,T Att 3rd,FA,TO,SH,CK,FK,Cr,TI,GK,GTh,P,W,W%,Total,Att,Mid,Def,Fwd,Fwd Att 3rd,Bck,Sde,Sh,Med,Lng
24 Raul Castillo,X,90,28,21,2,7,1,4,2,1,0,0,0,0,0,0%,14/16-88%,9/10-90%,5/6-83%,0/0-0%,6/8-75%,7,6,2,12,4,0
183 Jorge Sanchez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0,0,0,0,0,0
184 Brayam Blancas,X,90,40,12,4,7,0,0,1,4,7,0,0,0,0,0%,20/26-77%,6/6-100%,11/16-69%,3/4-75%,5/10-50%,0,13,3,24,2,0
186 Manlio Rivera,X,60,70,15,3,4,3,0,4,0,1,0,0,0,0,0%,52/61-85%,10/11-91%,31/38-82%,11/12-92%,40/48-83%,11,1,12,43,10,8
187 Derek Gomez,,30,30,9,5,2,0,0,2,5,4,0,0,0,0,0%,16/19-84%,3/4-75%,12/13-92%,1/2-50%,6/9-67%,3,8,2,18,1,0
188 Hector Sanchez,X,75,68,9,3,3,2,0,3,1,6,0,0,0,0,0%,46/55-84%,4/4-100%,32/38-84%,10/13-77%,29/38-76%,4,13,4,49,4,2
189 Juan Gamez,,15,3,3,2,0,2,0,0,0,0,0,0,0,0,0%,1/1-100%,1/1-100%,0/0-0%,0/0-0%,1/1-100%,1,0,0,0,1,0
190 Alberto Rodriguez,X,90,40,9,2,2,2,0,1,0,0,0,0,0,0,0%,33/36-92%,6/7-86%,24/25-96%,3/4-75%,15/18-83%,5,16,2,34,2,0
193 Santiago Roman,X,80,41,3,0,4,0,0,4,0,0,0,0,0,0,0%,31/37-84%,2/3-67%,20/25-80%,9/9-100%,17/23-74%,3,10,4,27,5,5
194 Maximilian Arteaga,,10,14,10,6,4,1,0,0,5,0,0,0,0,0,0%,5/5-100%,2/2-100%,3/3-100%,0/0-0%,3/3-100%,1,0,2,5,0,0
195 Jesus Garcia,X,30,16,8,2,5,0,0,0,2,2,0,0,0,0,0%,7/9-78%,3/4-75%,3/4-75%,1/1-100%,1/2-50%,1,5,2,9,0,0
196 Daniel Hernandez,,60,42,21,3,6,2,2,2,1,1,0,0,0,0,0%,29/34-85%,11/14-79%,16/18-89%,2/2-100%,15/20-75%,10,9,5,24,10,0
197 Diego Zago,X,90,49,16,3,2,3,0,1,0,1,0,0,0,0,0%,39/43-91%,12/13-92%,21/24-88%,6/6-100%,18/21-86%,12,17,5,34,4,5
201 Baruch Ochoa,X,90,33,20,3,8,2,0,0,1,1,0,0,0,0,0%,17/26-65%,10/14-71%,7/12-58%,0/0-0%,4/8-50%,4,9,9,20,5,1
202 Diego Crosa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0,0,0,0,0,0
205 John Gomez,X,90,35,1,0,0,0,0,1,0,0,9,3,0,0,0%,22/22-100%,1/1-100%,5/5-100%,16/16-100%,22/22-100%,1,0,0,17,4,1
207 Christian Seas,X,70,42,27,3,7,2,1,1,1,1,0,0,0,0,0%,25/32-78%,14/20-70%,10/11-91%,1/1-100%,9/16-56%,12,14,2,29,3,0
208 Leonardo Jimenez,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0,0,0,0,0,0
210 Dylan Torres,,20,18,9,1,1,1,0,0,0,0,0,0,0,0,0%,15/17-88%,7/8-88%,7/8-88%,1/1-100%,9/11-82%,6,6,0,13,3,1
261 Ignatius Rangel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0/0-0%,0,0,0,0,0,0
